,etat,marque,prix_euro,couleur,taille_ecran_pouce,capacite_stockage_Go,megapixel,systeme_exploitation,resolution_ecran,reseau,date_de_sortie,memoire,connecteur,double_sim,port_carte_SD,pliable,poids_g
1169,État correct,samsung,208.99,noir,5.5,16.0,13,Android,1080x1920,4G,2017,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,181
1170,État correct,oneplus,220.0,noir,6.4,128.0,20,Android,1080x2340,4G,2018,8.0,USB-C,Oui,Non,Non,185
1171,Très bon état,oneplus,244.0,noir,6.4,128.0,20,Android,1080x2340,4G,2018,8.0,USB-C,Oui,Non,Non,185
1172,Parfait état,oneplus,256.0,noir,6.4,128.0,20,Android,1080x2340,4G,2018,8.0,USB-C,Oui,Non,Non,185
1173,État correct,huawei,220.0,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,micro USB,Oui,Non,Non,165
1174,Très bon état,huawei,230.84,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,micro USB,Oui,Non,Non,165
1175,Très bon état,xiaomi,239.0,plus que blanc,6.67,64.0,64,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,209
1176,État correct,oneplus,248.0,gris,6.41,256.0,48,Android,1080x2340,4G,2019,8.0,USB-C,Oui,Non,Non,182
1177,Parfait état,oneplus,381.0,gris,6.41,256.0,48,Android,1080x2340,4G,2019,8.0,USB-C,Oui,Non,Non,182
1178,État correct,xiaomi,344.79,noir,6.4,128.0,48,Android,1080x2340,4G,2019,6.0,USB-C,Oui,Non,Non,173
1179,Parfait état,xiaomi,258.0,noir,6.4,128.0,48,Android,1080x2340,4G,2019,6.0,USB-C,Oui,Non,Non,173
1180,État correct,huawei,279.99,noir,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
1181,État correct,samsung,356.0,bleu,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1182,Très bon état,samsung,393.24,bleu,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1183,Parfait état,samsung,384.0,bleu,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1184,État correct,apple,464.0,or,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
1185,État correct,apple,485.0,argent,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
1186,Très bon état,apple,520.84,argent,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
1187,Parfait état,apple,550.0,argent,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
1188,Très bon état,samsung,729.0,violet,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Non,Non,Non,169
1189,Parfait état,samsung,643.0,violet,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Non,Non,Non,169
1190,Très bon état,samsung,880.44,noir,6.7,256.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,200
1191,Parfait état,samsung,915.24,noir,6.7,256.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,200
1192,État correct,motorola,76.0,gris,5.0,16.0,13,Android,1080x1920,4G,2017,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,151
1193,Très bon état,samsung,110.0,noir,5.2,16.0,13,Android,720x1280,4G,2016,2.0,micro USB + Jack 3.5mm,Oui,Oui,Non,149
1194,Très bon état,samsung,135.0,violet,5.6,32.0,16,Android,1080x2220,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,172
1195,État correct,samsung,226.0,or (sunrise gold),5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
1196,Très bon état,samsung,157.0,or (sunrise gold),5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
1197,État correct,samsung,218.0,noir,6.4,128.0,25,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,166
1198,Très bon état,samsung,287.0,noir,6.4,128.0,25,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,166
1199,Parfait état,samsung,262.0,noir,6.4,128.0,25,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,166
1200,État correct,google,219.99,blanc,6.3,64.0,8,Android,1440x2960,4G,2018,4.0,USB-C,Non,Non,Non,184
1201,Très bon état,google,227.0,blanc,6.3,64.0,8,Android,1440x2960,4G,2018,4.0,USB-C,Non,Non,Non,184
1202,État correct,huawei,224.0,noir,6.3,128.0,40,Android,1440x3120,4G,2018,6.0,USB-C,Non,Oui,Non,189
1203,Parfait état,huawei,329.0,noir,6.3,128.0,40,Android,1440x3120,4G,2018,6.0,USB-C,Non,Oui,Non,189
1204,État correct,crosscall,251.0,noir,5.0,32.0,18,Android,1080x1920,4G,2017,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,240
1205,Parfait état,xiaomi,255.0,bleu subtil,6.67,128.0,48,Android,1080x2400,4G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,215
1206,État correct,oppo,251.0,noir,6.5,256.0,48,Android,1080x2400,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
1207,Très bon état,oppo,280.0,noir,6.5,256.0,48,Android,1080x2400,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
1208,État correct,samsung,299.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1209,Très bon état,samsung,349.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1210,Parfait état,samsung,369.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1211,État correct,samsung,413.9,blanc,6.4,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
1212,Très bon état,samsung,499.0,blanc,6.4,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
1213,Parfait état,samsung,533.0,blanc,6.4,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
1214,Très bon état,apple,497.64,jaune,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
1215,Parfait état,apple,520.0,jaune,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
1216,Très bon état,samsung,616.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,222
1217,Parfait état,samsung,676.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,222
1218,État correct,samsung,621.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
1219,Très bon état,samsung,658.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
1220,Parfait état,samsung,681.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
1221,Parfait état,oppo,780.9,noir,6.7,256.0,50,Android,1440x3216,5G,2021,12.0,USB-C,Oui,Oui,Non,193
1222,Parfait état,samsung,893.0,phantom black,6.8,128.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Non,Non,Non,227
1223,État correct,apple,936.0,argent,6.1,512.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
1224,État correct,blackberry,74.0,noir,5.0,16.0,8,BlackBerry OS,720x1280,4G,2015,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,170
1225,Très bon état,blackberry,80.0,noir,5.0,16.0,8,BlackBerry OS,720x1280,4G,2015,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,170
1226,État correct,huawei,90.0,or,5.2,16.0,13,Android,1080x1920,4G,2017,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,147
1227,Très bon état,sony,99.0,bleu,5.2,32.0,23,Android,1080x1920,4G,2016,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,161
1228,Parfait état,sony,196.45,bleu,5.2,32.0,23,Android,1080x1920,4G,2016,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,161
1229,État correct,doro,129.0,noir,5.0,16.0,8,Android,720x1280,4G,2018,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,148
1230,Parfait état,oppo,140.0,noir,6.5,64.0,12,Android,720x1600,4G,2019,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
1231,Très bon état,samsung,140.8,violet,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,162
1232,État correct,huawei,160.0,bleu,6.5,128.0,20,Android,1080x2340,4G,2018,6.0,micro USB + Jack 3.5mm,Non,Oui,Non,184
1233,Parfait état,huawei,164.0,or,5.8,64.0,16,Android,1080x2280,4G,2018,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,145
1234,Très bon état,huawei,229.0,noir,6.5,128.0,16,Android,1080x2244,4G,2018,6.0,USB-C,Oui,Oui,Non,188
1235,État correct,google,233.0,noir,6.3,64.0,"12,2",Android,1440x2960,4G,2018,6.0,micro USB + Jack 3.5mm,Non,Non,Non,184
1236,Très bon état,google,244.0,noir,6.3,64.0,"12,2",Android,1440x2960,4G,2018,6.0,micro USB + Jack 3.5mm,Non,Non,Non,184
1237,Parfait état,google,316.45,noir,6.3,64.0,"12,2",Android,1440x2960,4G,2018,6.0,micro USB + Jack 3.5mm,Non,Non,Non,184
1238,État correct,samsung,245.0,noir,6.4,128.0,25,Android,1080x2340,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,166
1239,Très bon état,samsung,249.95,noir,6.4,128.0,25,Android,1080x2340,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,166
1240,Très bon état,nokia,290.0,bleu,6.81,64.0,64,Android,1080x2400,5G,2020,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,220
1241,État correct,samsung,309.0,blanc,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1242,Très bon état,samsung,319.0,blanc,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1243,Parfait état,samsung,322.0,blanc,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1244,État correct,oneplus,341.0,bleu,6.67,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Non,Non,206
1245,Très bon état,oneplus,345.0,bleu,6.67,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Non,Non,206
1246,Parfait état,oneplus,360.0,bleu,6.67,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Non,Non,206
1247,État correct,samsung,353.0,noir,6.1,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1248,Très bon état,samsung,433.0,noir,6.1,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1249,Parfait état,samsung,437.0,noir,6.1,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
1250,État correct,samsung,900.0,noir,6.4,512.0,12,Android,1440x2960,4G,2018,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,250
1251,Parfait état,samsung,438.0,noir,6.4,512.0,12,Android,1440x2960,4G,2018,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,250
1252,Parfait état,samsung,589.0,argent stellaire,6.8,256.0,12,Android,1440x3040,5G,2019,12.0,USB-C,Non,Oui,Non,198
1253,État correct,apple,730.0,rouge,5.4,256.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1254,Très bon état,apple,740.0,rouge,5.4,256.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1255,Parfait état,apple,735.0,rouge,5.4,256.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1256,Parfait état,samsung,822.44,argent,6.7,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,200
1257,État correct,samsung,937.0,phantom black,6.8,128.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Oui,Non,Non,227
1258,Très bon état,samsung,950.0,phantom black,6.8,128.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Oui,Non,Non,227
1259,Parfait état,samsung,166.0,phantom black,6.8,128.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Oui,Non,Non,227
1260,Parfait état,samsung,139.9,argent,6.8,128.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Non,Non,Non,227
1261,État correct,nokia,89.0,blanc,5.0,16.0,8,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,140
1262,Très bon état,nokia,75.0,blanc,5.0,16.0,8,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,140
1263,Parfait état,nokia,79.0,blanc,5.0,16.0,8,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,140
1264,Parfait état,oppo,169.0,noir,6.52,64.0,8,Android,720x1600,4G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,190
1265,Parfait état,oppo,169.0,noir,6.52,32.0,13,Android,720x1600,4G,2020,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,175
1266,État correct,samsung,169.0,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,162
1267,Parfait état,samsung,199.0,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,162
1268,État correct,samsung,126.0,noir,5.1,16.0,16,Android,1080x1920,4G,2015,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,145
1269,Très bon état,samsung,180.0,noir,5.1,16.0,16,Android,1080x1920,4G,2015,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,145
1270,Parfait état,samsung,187.0,noir,5.1,16.0,16,Android,1080x1920,4G,2015,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,145
1271,État correct,huawei,202.0,bleu,6.26,128.0,48,Android,1080x2340,4G,2019,6.0,USB-C,Oui,Non,Non,174
1272,État correct,samsung,238.0,bleu,5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
1273,Très bon état,samsung,220.0,bleu,5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
1274,Parfait état,samsung,206.0,bleu,5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
1275,État correct,xiaomi,218.0,gris,6.53,128.0,48,Android,1080x2340,4G,2020,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,199
1276,Parfait état,xiaomi,227.0,noir,6.53,128.0,48,Android,1080x2340,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
1277,État correct,apple,224.0,or,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
1278,Très bon état,apple,295.9,or,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
1279,État correct,apple,240.0,argent,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
1280,Très bon état,apple,265.0,argent,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
1281,Parfait état,doogee,259.0,noir/orange,6.22,128.0,48,Android,720x1520,4G,2020,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,310
1282,État correct,apple,191.0,argent,5.5,64.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
1283,Parfait état,apple,259.0,argent,5.5,64.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
1284,État correct,oneplus,301.0,gris,6.67,128.0,48,Android,1440x3120,4G,2019,6.0,USB-C,Oui,Oui,Non,206
1285,Parfait état,samsung,390.0,violet,6.5,128.0,64,Android,1080x2400,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
1286,Parfait état,xiaomi,399.0,vert,6.55,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Oui,Non,159
1287,État correct,samsung,483.0,blanc,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,163
1288,Très bon état,samsung,479.0,blanc,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,163
1289,État correct,samsung,558.99,bleu,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Non,Oui,Non,186
1290,Très bon état,samsung,607.0,bleu,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Non,Oui,Non,186
1291,Parfait état,samsung,640.1,bleu,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Non,Oui,Non,186
1292,État correct,apple,100.0,or,6.5,512.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Oui,Non,Non,226
1293,Très bon état,apple,818.0,or,6.5,512.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Oui,Non,Non,226
1294,Parfait état,apple,862.0,or,6.5,512.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Oui,Non,Non,226
1295,État correct,samsung,169.0,bleu,6.2,32.0,13,Android,720x1520,4G,2019,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,168
1296,Parfait état,samsung,210.0,bleu,6.5,64.0,13,Android,720x1600,4G,2021,3.0,USB-C + Jack 3.5mm,Oui,Oui,Non,199
1297,État correct,samsung,211.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Oui,Oui,Non,163
1298,Très bon état,samsung,215.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Oui,Oui,Non,163
1299,Parfait état,samsung,245.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Oui,Oui,Non,163
1300,Très bon état,huawei,249.0,vert,6.67,128.0,48,Android,1080x2400,4G,2020,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,206
1301,État correct,samsung,261.0,noir,6.7,128.0,48,Android,1080x2400,4G,2019,8.0,USB-C,Oui,Non,Non,220
1302,Parfait état,samsung,335.0,noir,6.7,128.0,48,Android,1080x2400,4G,2019,8.0,USB-C,Oui,Non,Non,220
1303,État correct,xiaomi,269.0,gris,6.57,64.0,48,Android,1080x2340,5G,2020,6.0,USB-C + Jack 3.5mm,Oui,Non,Non,192
1304,État correct,samsung,428.79,rouge,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,150
1305,Parfait état,samsung,399.0,rouge,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,150
1306,Parfait état,oneplus,452.0,vert,6.55,128.0,48,Android,1080x2400,5G,2020,8.0,USB-C,Oui,Non,Non,188
1307,État correct,apple,550.0,corail,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
1308,État correct,apple,659.0,mauve,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1309,Très bon état,apple,675.0,mauve,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1310,Parfait état,apple,699.0,mauve,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
1311,Très bon état,samsung,849.0,beige,6.7,128.0,12,Android,1080x2640,5G,2021,8.0,USB-C + Jack 3.5mm,Oui,Non,Oui,183
1312,Parfait état,samsung,899.0,beige,6.7,128.0,12,Android,1080x2640,5G,2021,8.0,USB-C + Jack 3.5mm,Oui,Non,Oui,183
1313,Parfait état,samsung,94.0,bleu,4.0,8.0,5,Android,480x800,3G,2012,1.0,micro USB + Jack 3.5mm,Non,Oui,Non,111
1314,État correct,sony,98.0,noir,5.5,16.0,13,Android,720x1280,4G,2017,2.0,USB-C + Jack 3.5mm,Non,Oui,Non,180
1315,État correct,samsung,135.0,blanc,4.5,16.0,8,Android,540x960,4G,2014,1.0,micro USB + Jack 3.5mm,Non,Oui,Non,110
1316,État correct,huawei,139.0,gris,5.2,32.0,12,Android,1080x1920,4G,2016,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,144
1317,Très bon état,huawei,141.0,gris,5.2,32.0,12,Android,1080x1920,4G,2016,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,144
1318,État correct,oneplus,162.0,noir,5.5,64.0,16,Android,1080x1920,4G,2017,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,153
1319,Très bon état,oneplus,168.0,noir,5.5,64.0,16,Android,1080x1920,4G,2017,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,153
1320,Parfait état,oneplus,290.0,noir,5.5,64.0,16,Android,1080x1920,4G,2017,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,153
1321,Parfait état,xiaomi,190.9,bleu subtil,6.53,64.0,48,Android,1080x2340,4G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,198
1322,État correct,xiaomi,199.0,bleu subtil,6.67,128.0,48,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,209
1323,Parfait état,xiaomi,272.8,bleu subtil,6.67,128.0,48,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,209
1324,État correct,oneplus,315.0,bleu,6.55,128.0,48,Android,1080x2400,4G,2019,8.0,USB-C,Non,Oui,Non,190
1325,Très bon état,oneplus,325.0,bleu,6.55,128.0,48,Android,1080x2400,4G,2019,8.0,USB-C,Non,Oui,Non,190
1326,Parfait état,oneplus,278.0,bleu,6.55,128.0,48,Android,1080x2400,4G,2019,8.0,USB-C,Non,Oui,Non,190
1327,État correct,google,279.0,blanc,5.5,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C,Non,Non,Non,148
1328,État correct,apple,295.0,or,5.5,256.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
1329,Très bon état,apple,370.04,or,5.5,256.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
1330,Parfait état,apple,413.28,or,5.5,256.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
1331,Très bon état,oppo,349.0,bleu,6.43,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,172
1332,Parfait état,oppo,329.0,bleu,6.43,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,172
1333,État correct,google,340.0,blanc,6.3,64.0,16,Android,1080x2280,4G,2019,6.0,USB-C,Non,Non,Non,193
1334,État correct,crosscall,359.0,noir,5.5,64.0,12,Android,1080x1920,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,250
1335,Très bon état,crosscall,399.0,noir,5.5,64.0,12,Android,1080x1920,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,250
1336,Parfait état,crosscall,488.0,noir,5.5,64.0,12,Android,1080x1920,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,250
1337,Parfait état,samsung,410.0,noir,6.5,128.0,64,Android,1080x2400,4G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
1338,Parfait état,samsung,435.0,marron,6.4,128.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,201
1339,État correct,samsung,848.79,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,163
1340,Très bon état,samsung,489.0,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,163
1341,Parfait état,samsung,579.0,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,163
1342,État correct,samsung,495.0,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,163
1343,Très bon état,samsung,533.0,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,163
1344,Parfait état,samsung,559.0,rose,6.2,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,163
1345,État correct,oneplus,519.0,bleu,6.78,256.0,48,Android,1440x3168,4G,2020,12.0,USB-C,Oui,Non,Non,199
1346,Très bon état,oneplus,539.0,bleu,6.78,256.0,48,Android,1440x3168,4G,2020,12.0,USB-C,Oui,Non,Non,199
1347,Parfait état,oneplus,635.0,bleu,6.78,256.0,48,Android,1440x3168,4G,2020,12.0,USB-C,Oui,Non,Non,199
1348,État correct,xiaomi,599.0,bleu horizon,6.81,256.0,108,Android,1440x3200,5G,2021,8.0,USB-C,Oui,Non,Non,196
1349,Très bon état,xiaomi,609.0,bleu horizon,6.81,256.0,108,Android,1440x3200,5G,2021,8.0,USB-C,Oui,Non,Non,196
1350,Parfait état,xiaomi,627.0,bleu horizon,6.81,256.0,108,Android,1440x3200,5G,2021,8.0,USB-C,Oui,Non,Non,196
1351,État correct,samsung,880.0,argent,6.8,256.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Non,Non,Non,227
1352,Très bon état,samsung,930.0,argent,6.8,256.0,108,Android,1440x3200,5G,2021,12.0,USB-C,Non,Non,Non,227
1353,Parfait état,samsung,970.0,violet,6.7,256.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,200
1354,Très bon état,samsung,84.0,bleu,4.7,16.0,8,Android,540x960,4G,2014,1.0,micro USB + Jack 3.5mm,Non,Oui,Non,110
1355,État correct,huawei,129.0,noir,5.2,32.0,12,Android,1080x1920,4G,2017,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,146
1356,Très bon état,huawei,159.0,noir,5.2,32.0,12,Android,1080x1920,4G,2017,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,146
1357,État correct,samsung,149.0,or (sunrise gold),5.1,32.0,16,Android,1440x2560,4G,2015,3.0,micro USB + Jack 3.5mm,Non,Non,Non,132
1358,Très bon état,samsung,179.0,or (sunrise gold),5.1,32.0,16,Android,1440x2560,4G,2015,3.0,micro USB + Jack 3.5mm,Non,Non,Non,132
1359,Parfait état,samsung,158.0,or (sunrise gold),5.1,32.0,16,Android,1440x2560,4G,2015,3.0,micro USB + Jack 3.5mm,Non,Non,Non,132
1360,État correct,huawei,91.0,bleu,5.9,16.0,13,Android,720x1440,4G,2018,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,155
1361,Très bon état,huawei,149.0,bleu,5.9,16.0,13,Android,720x1440,4G,2018,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,155
1362,État correct,huawei,121.0,or,5.2,32.0,12,Android,1080x1920,4G,2017,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,146
